,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,Time
2.723,4.846225,-4.04164,376.901056,-32.494758,-6.382966,2.826007,0.016935,-0.086216,0.135
2.724,1.749564,-9.204374,377.887751,-32.889545,-6.079947,1.094809,0.016089,-0.087035,0.136
2.725,1.58417,-3.072915,378.388495,-33.214442,-5.917833,1.664981,0.01564,-0.087779,0.137
2.726,5.920276,-3.420441,378.959468,-33.511533,-5.592338,3.079776,0.014757,-0.08843,0.138
2.727,5.031207,-10.892328,379.798886,-33.835648,-5.347619,1.333181,0.01408,-0.089088,0.139
2.728,2.648786,-7.599014,380.80722,-34.119758,-5.178894,2.070515,0.0136,-0.089599,0.14
2.729,6.370256,-3.954208,381.019202,-34.274793,-4.971458,3.247482,0.013048,-0.089956,0.141
2.73,7.869929,-10.540602,381.70706,-34.548689,-4.773051,1.517291,0.012504,-0.090511,0.142
2.731,4.331684,-11.680761,381.514145,-34.65428,-4.68703,2.412614,0.012285,-0.090834,0.143
2.732,5.931814,-5.905331,381.186077,-34.739734,-4.602366,3.381354,0.012074,-0.091136,0.144
2.733,9.469672,-9.209624,380.855734,-34.912102,-4.487926,1.653897,0.011784,-0.091668,0.145
2.734,6.810869,-13.543466,379.820252,-34.902793,-4.478321,2.665971,0.011791,-0.091893,0.146
2.735,5.755478,-8.743075,378.954203,-34.901676,-4.499112,3.440298,0.011872,-0.0921,0.147
2.736,9.917081,-7.964046,378.103502,-34.973626,-4.465665,1.693382,0.011811,-0.092497,0.148
2.737,9.113765,-13.630278,376.060986,-34.907424,-4.4613,2.859839,0.011863,-0.092824,0.149
2.738,6.374187,-11.492986,375.012591,-34.873339,-4.54302,3.412242,0.012114,-0.092992,0.15
2.739,9.654744,-7.606741,374.149254,-34.827623,-4.548303,1.708981,0.012156,-0.093085,0.151
2.74,11.152279,-11.852944,372.296078,-34.670958,-4.593185,2.989915,0.012337,-0.093127,0.152
2.741,8.052767,-13.001711,371.424333,-34.578195,-4.719216,3.383407,0.012706,-0.093096,0.153
2.742,9.388662,-8.047404,370.369717,-34.545528,-4.746879,1.736772,0.012817,-0.093273,0.154
2.743,12.216132,-9.365313,368.695029,-34.432579,-4.840116,3.078416,0.013128,-0.09339,0.155
2.744,9.998611,-13.178339,367.489544,-34.280898,-4.973368,3.291115,0.013533,-0.093284,0.156
2.745,9.298525,-9.196899,366.42025,-34.262987,-5.052859,1.731051,0.01379,-0.093507,0.157
2.746,12.572143,-7.143776,365.088592,-34.113825,-5.121287,3.12138,0.014028,-0.09344,0.158
2.747,12.211596,-11.403693,364.068677,-34.043346,-5.235774,3.156999,0.014381,-0.093508,0.159
2.748,10.091114,-10.171954,363.339848,-33.957782,-5.33965,1.701609,0.014696,-0.09346,0.16
2.749,12.217856,-6.164443,362.165984,-33.865525,-5.391371,3.165116,0.014886,-0.093508,0.161
2.75,13.717169,-8.919561,361.671268,-33.771453,-5.438788,3.02279,0.015038,-0.093376,0.162
2.751,11.415413,-10.3477,361.291235,-33.691682,-5.553298,1.741662,0.015371,-0.093254,0.163
2.752,11.861027,-6.161623,360.447902,-33.603424,-5.63902,3.221699,0.015644,-0.093227,0.164
2.753,14.513818,-6.434725,359.955111,-33.563135,-5.675349,2.888509,0.015767,-0.093243,0.165
2.754,13.006804,-9.549677,359.759896,-33.504548,-5.730487,1.728657,0.015929,-0.09313,0.166
2.755,11.504139,-6.780406,359.244096,-33.47555,-5.818063,3.233263,0.016195,-0.093183,0.167
