,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
60,0.0125,-0.11002,-4.089685,-0.225954,553.581085,-60.90478,-6.919988,-1.335472,0.5
61,0.01232113,-0.10957836,-3.82066389,0.62950667,552.4955742,-60.54167934,-6.80722132,-1.32639191,0.50833
62,0.01205985,-0.10897123,-3.93441374,1.39795956,550.8919543,-60.03133263,-6.64370441,-1.24646008,0.51667
63,0.011702,-0.108725,-4.342855,2.075822,549.116495,-59.702912,-6.425656,-1.136351,0.525
64,0.01134561,-0.10817276,-4.78204028,2.57763867,548.5956453,-59.34307767,-6.22395796,-1.12931315,0.53333
65,0.01118784,-0.10761225,-5.19441711,2.78218475,548.4799216,-59.02321401,-6.13638598,-1.12172086,0.54167
66,0.011053,-0.106922,-5.398342,3.224045,548.422841,-58.638731,-6.061514,-1.123565,0.55
67,0.01067459,-0.10639731,-5.60145089,3.6066855,547.9065255,-58.29587162,-5.84866763,-1.04493798,0.55833
68,0.010271,-0.10574269,-5.83453515,3.89947487,547.3933705,-57.88288709,-5.62218533,-0.98040741,0.56667
69,0.00978,-0.105304,-6.007393,4.371433,547.391545,-57.642733,-5.353493,-0.853087,0.575
70,0.00932721,-0.10502318,-6.18077965,4.72379156,546.9332105,-57.44064394,-5.10126654,-0.83002753,0.58333
71,0.0089749,-0.10479662,-6.56260319,4.81025776,546.4704506,-57.26817044,-4.90466398,-0.87735288,0.59167
72,0.00875,-0.104932,-6.530885,4.721353,546.352372,-57.329926,-4.780458,-0.909351,0.6
73,0.00871785,-0.10495705,-6.17914221,4.15914076,547.3332094,-57.44640913,-4.77142206,-0.8215783,0.60833
74,0.00865429,-0.10508851,-5.85572227,3.74502388,548.6547469,-57.65750568,-4.74806264,-0.74698944,0.61667
75,0.008559,-0.105191,-5.562248,3.302755,550.313771,-57.888172,-4.710276,-0.71824,0.625
76,0.00832284,-0.10517491,-5.17976201,3.29971219,551.7496539,-58.03043365,-4.5922088,-0.7360371,0.63333
77,0.00817785,-0.10518809,-4.76632582,3.47605091,552.4974483,-58.11623327,-4.51818137,-0.75462301,0.64167
78,0.008022,-0.105047,-4.676696,3.563991,553.068476,-58.09814,-4.436956,-0.786613,0.65
79,0.00820454,-0.10477458,-4.76607669,3.82919501,553.4714879,-57.98967355,-4.54087478,-0.79311734,0.65833
80,0.00858615,-0.10437624,-4.76812123,4.09729948,553.8155532,-57.80525318,-4.75535191,-0.78524651,0.66667
81,0.009039,-0.104008,-4.505336,4.363426,553.595447,-57.578193,-5.003759,-0.742517,0.675
82,0.00956503,-0.10366836,-4.36078847,4.42479521,552.9124929,-57.31935899,-5.28838914,-0.72186225,0.68333
83,0.00980466,-0.10339555,-3.92000723,4.45346535,552.1765707,-57.09281273,-5.41379367,-0.64821015,0.69167
84,0.010187,-0.103139,-3.715068,4.809313,550.865224,-56.815512,-5.611396,-0.624506,0.7
85,0.01046418,-0.10285476,-3.62722908,4.89972627,549.7812672,-56.5475077,-5.75302631,-0.53864737,0.70833
86,0.01079146,-0.10293755,-3.48132958,4.66450584,548.1808284,-56.4282615,-5.91574407,-0.48414599,0.71667
87,0.011307,-0.103091,-3.188606,4.283345,547.097556,-56.400732,-6.186112,-0.45359,0.725
88,0.01165672,-0.10336872,-2.92649909,3.95994571,546.760342,-56.51804067,-6.37333848,-0.38054637,0.73333
89,0.01199831,-0.10347109,-2.48762753,3.60609332,547.3410226,-56.63397416,-6.56720789,-0.2869553,0.74167
90,0.0123,-0.103406,-2.223093,3.845135,547.802139,-56.646105,-6.737988,-0.186009,0.75
91,0.01233972,-0.10337619,-2.19402561,4.05309761,547.7462217,-56.62392529,-6.75912127,-0.04691127,0.75833
92,0.01225836,-0.103442,-2.28199909,3.93550446,547.9756632,-56.68385935,-6.71715511,-0.00288147,0.76667
93,0.012092,-0.103729,-2.397646,3.847518,548.315989,-56.876157,-6.630315,0.020619,0.775
94,0.01193754,-0.10403287,-2.66254777,3.55155511,549.4000839,-57.15578853,-6.55844958,-0.01168375,0.78333
95,0.01180646,-0.10438769,-2.66218023,3.22551046,550.3154455,-57.44617382,-6.49722175,-0.06491164,0.79167
96,0.011683,-0.104468,-2.7513,2.95857,551.22984,-57.586072,-6.440004,-0.093292,0.8
97,0.01145239,-0.10450104,-2.74982763,3.16435163,551.5720112,-57.63960722,-6.31670483,-0.09697735,0.80833
98,0.01134703,-0.104339,-2.51222458,3.5791867,551.5708676,-57.55024366,-6.25861208,-0.0923432,0.81667
99,0.011103,-0.104343,-2.392649,3.933078,551.398776,-57.53463,-6.122342,-0.080925,0.825
100,0.01076674,-0.10426782,-2.30214335,3.93061446,551.1710609,-57.46943055,-5.93449006,-0.10214792,0.83333
101,0.0102846,-0.10417105,-2.4469311,3.89957631,550.823543,-57.37973773,-5.66489609,-0.12203055,0.84167
102,0.009884,-0.104254,-2.472173,4.01593,550.018126,-57.341613,-5.436467,-0.1656,0.85
103,0.00951079,-0.10454167,-2.49891809,3.71964785,549.2116987,-57.41534751,-5.22352595,-0.22018886,0.85833
104,0.009345,-0.104903,-2.644562,3.571175,548.292583,-57.517412,-5.123553,-0.268166,0.86667
105,0.009174,-0.10511,-2.465967,3.039126,547.604012,-57.558475,-5.02355,-0.30137,0.875
106,0.00887285,-0.10548169,-2.55299268,2.68220039,546.8605224,-57.68386047,-4.8521335,-0.30805365,0.88333
107,0.00854751,-0.10569858,-2.5785125,2.5056461,546.282422,-57.74139663,-4.66916277,-0.27810483,0.89167
108,0.00826,-0.10585,-2.723767,2.504608,545.709095,-57.763333,-4.507681,-0.249706,0.9
109,0.0080276,-0.10569108,-2.80982339,2.88761914,545.7664988,-57.68274139,-4.38119703,-0.2287275,0.90833
110,0.00781687,-0.1054882,-2.80759885,3.62698531,545.5915973,-57.55354098,-4.26502636,-0.19429467,0.91667
111,0.007765,-0.105298,-2.89365,4.455062,545.703652,-57.46134,-4.237559,-0.192294,0.925
112,0.00775667,-0.10500064,-2.80453047,5.19275463,545.7074337,-57.29976067,-4.23285044,-0.13817502,0.93333
113,0.00768321,-0.10471205,-2.77367335,5.66613628,545.6515808,-57.1362676,-4.19249245,-0.09409229,0.94167
114,0.007332,-0.104715,-2.798455,6.050951,545.703216,-57.143542,-4.001091,-0.060313,0.95
115,0.00702295,-0.104621,-2.97441428,6.04810578,545.8748454,-57.10998087,-3.83355086,-0.08374114,0.95833
116,0.00657257,-0.10469838,-3.32370129,6.28400579,545.9824366,-57.16346493,-3.5886647,-0.12485556,0.96667
117,0.006064,-0.104773,-3.762357,6.133566,546.032205,-57.209532,-3.310971,-0.202371,0.975
118,0.00564327,-0.10498278,-4.11315692,6.30846551,546.2558931,-57.34746772,-3.08247859,-0.31703415,0.98333
119,0.00532784,-0.10533827,-4.40554939,6.10121561,546.5911926,-57.57697529,-2.91210983,-0.38142321,0.99167
120,0.005089,-0.105752,-4.375106,6.041573,547.732824,-57.923611,-2.787457,-0.436111,1
121,0.00501273,-0.10602918,-4.58255602,5.83425484,548.8745973,-58.19677488,-2.75122375,-0.47262863,1.00833
122,0.00511032,-0.10616687,-4.4653343,5.83582102,550.5364962,-58.44850393,-2.81366604,-0.45655653,1.01667
123,0.005178,-0.106315,-4.376665,6.131891,551.338798,-58.615524,-2.854774,-0.39036,1.025
124,0.0053172,-0.10629162,-4.37624255,6.51730636,551.2241396,-58.59032852,-2.93090019,-0.33716031,1.03333
125,0.005422,-0.10629042,-4.28732329,6.90386539,550.9952445,-58.56544456,-2.98753187,-0.30088377,1.04167
126,0.005629,-0.10615,-4.288452,7.287553,551.170762,-58.506808,-3.102525,-0.271642,1.05
127,0.00580372,-0.10605727,-4.11198132,7.90821434,551.5169658,-58.4923639,-3.20084,-0.28412114,1.05833
128,0.005922,-0.106223,-4.02455,8.442884,552.545309,-58.692957,-3.272082,-0.243813,1.06667
129,0.006024,-0.106297,-4.026422,8.710446,554.43289,-58.934592,-3.339895,-0.231958,1.075
130,0.00612864,-0.10648298,-4.0571313,8.9176033,556.322023,-59.2387972,-3.40944755,-0.23044596,1.08333
131,0.00629165,-0.1066902,-4.20677025,9.12627563,557.5798027,-59.48846448,-3.50786709,-0.27081468,1.09167
132,0.006403,-0.10709,-4.119243,9.157913,557.861393,-59.741457,-3.57213,-0.295115,1.1
133,0.0066912,-0.10738092,-4.03318028,8.80439114,558.4345208,-59.9651421,-3.73681733,-0.32008742,1.10833
134,0.00700718,-0.10766531,-3.97717263,8.62958002,559.1206891,-60.19772638,-3.91780319,-0.32389837,1.11667
135,0.007415,-0.10789,-3.685725,8.631213,559.583421,-60.373372,-4.149241,-0.313264,1.125
136,0.00771754,-0.10824222,-3.68650878,8.83964858,559.4696741,-60.5583191,-4.31778527,-0.27638084,1.13333
137,0.00809448,-0.10836294,-3.60015781,8.87193591,559.4716054,-60.62583963,-4.52844275,-0.24823168,1.14167
138,0.008249,-0.108659,-3.598735,8.992919,558.210769,-60.654376,-4.604896,-0.183202,1.15
139,0.00841626,-0.10878844,-3.59734992,9.08183551,556.3811051,-60.52796372,-4.68256759,-0.19570915,1.15833
140,0.00849576,-0.10896992,-3.56608599,9.08347194,554.6609409,-60.44145415,-4.71209302,-0.16326043,1.16667
141,0.008572,-0.109312,-3.506547,8.906053,553.059642,-60.455806,-4.740856,-0.179595,1.175
142,0.008511,-0.10979505,-3.50420642,8.58216688,551.6824169,-60.57210399,-4.69545962,-0.22523203,1.18333
143,0.00835907,-0.11039654,-3.50188219,7.96085931,549.9044433,-60.70761695,-4.59662435,-0.2290078,1.19167
144,0.008111,-0.110873,-3.587681,7.222646,548.412731,-60.804375,-4.44844,-0.241428,1.2
145,0.00781416,-0.11171907,-3.61351834,6.45539248,546.9774401,-61.10765411,-4.27410934,-0.24654054,1.20833
146,0.00745987,-0.11231129,-3.75827991,5.74491017,546.2265555,-61.34753352,-4.07465302,-0.28199638,1.21667
147,0.007296,-0.113046,-3.84454,5.272527,545.479204,-61.664127,-3.979783,-0.31454,1.225
148,0.00702501,-0.11353569,-4.07812833,4.91824098,545.1884037,-61.89818997,-3.83003203,-0.32540476,1.23333
149,0.0068078,-0.11421472,-4.10413747,4.68295787,544.7245727,-62.21565224,-3.70856811,-0.32274213,1.24167
150,0.006475,-0.114786,-4.013478,4.210916,544.778218,-62.532742,-3.527691,-0.289417,1.25
151,0.006251,-0.11544272,-3.83491675,3.70950888,544.6060039,-62.87081366,-3.40432462,-0.24340703,1.25833
152,0.0060652,-0.1160487,-3.47951728,3.17584024,544.6673618,-63.20807475,-3.30339033,-0.1676407,1.26667
153,0.005812,-0.116638,-3.123744,2.437374,544.441746,-63.502446,-3.164202,-0.071841,1.275
154,0.00566128,-0.11723907,-2.68044601,1.46313366,544.4442612,-63.8300631,-3.08221967,0.01516314,1.28333
155,0.00548347,-0.11790776,-2.41275467,0.90271538,544.3871925,-64.18759514,-2.98493736,0.10193513,1.29167
156,0.005394,-0.118538,-2.235809,0.135534,544.789632,-64.578345,-2.938334,0.193591,1.3
157,0.00526984,-0.11901799,-2.02900941,-0.5723966,545.5318365,-64.92815055,-2.87468561,0.22363518,1.30833
158,0.00525732,-0.11946456,-1.73340265,-1.07383908,545.5895515,-65.17876295,-2.86823716,0.26635135,1.31667
159,0.005141,-0.120044,-1.349703,-1.635396,545.479847,-65.481642,-2.804396,0.309831,1.325
160,0.00511801,-0.12054228,-1.08374989,-2.55031536,545.5945066,-65.76726181,-2.79219383,0.34710836,1.33333
161,0.0052061,-0.12095346,-0.84871235,-3.73351486,546.1742516,-66.06174874,-2.84340706,0.35893833,1.34167
162,0.005279,-0.121442,-0.555211,-4.826849,546.34874,-66.349809,-2.883989,0.385696,1.35
163,0.00521347,-0.12158136,-0.02518945,-6.00831436,546.9839504,-66.50307515,-2.85153148,0.46006398,1.35833
164,0.005202,-0.12173831,0.23862117,-7.10303912,547.3907256,-66.63837079,-2.84736022,0.56174953,1.36667
165,0.005097,-0.121985,0.414885,-8.020492,548.08271,-66.857859,-2.793684,0.61118,1.375
166,0.00507868,-0.12196377,0.53184296,-8.67110367,549.0026764,-66.9582405,-2.78839862,0.63103953,1.38333
167,0.0050183,-0.12186432,0.73874638,-9.14559398,549.1781287,-66.92515794,-2.75596958,0.65622283,1.39167
168,0.005021,-0.121539,0.677597,-9.885854,549.637543,-66.802418,-2.759673,0.641597,1.4
169,0.00510572,-0.1208844,0.49770348,-10.33105886,549.8111928,-66.46367655,-2.80719489,0.5963176,1.40833
170,0.00512183,-0.12001567,0.34881532,-9.8900436,549.5831433,-65.9584645,-2.81471703,0.50653649,1.41667
171,0.005167,-0.11923,0.053071,-9.270534,548.950629,-65.451145,-2.836394,0.430339,1.425
172,0.00538064,-0.11853969,0.0212342,-8.67989795,548.7818404,-65.05251498,-2.95281395,0.41626609,1.43333
173,0.0056138,-0.11776101,-0.04157456,-8.56298087,549.7607175,-64.74026882,-3.08612642,0.44660136,1.44167
174,0.005756,-0.117077,0.221603,-8.564051,551.199345,-64.532757,-3.172856,0.521248,1.45
