Frame number,5302
First frame,1
Point frequency,120
Analog frequency,120

Time,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.816667,121.509,-60.2058,1113.89,134.045,-27.7079,941.19,119.452,-51.6075,434.339,137.026,-163.128,33.7251,108.528,-208.163,-7.31891,170.044,-49.7822,-24.1501,118.011,39.3748,-22.2628
0.825,121.42,-59.8634,1113.78,133.607,-27.7477,941.181,119.266,-51.5581,434.24,137.003,-163.123,33.7202,108.565,-208.285,-7.30234,170.027,-49.7826,-24.0813,118.142,39.5476,-22.2597
0.833333,121.159,-59.6787,1113.72,133.109,-27.6341,941.006,119.419,-51.3092,434.458,136.953,-163.08,33.7419,108.541,-208.271,-7.27147,170.077,-49.7601,-24.1734,117.947,39.4,-22.2974
0.841667,121.09,-59.3814,1113.6,132.868,-27.2724,941.109,118.892,-51.5408,434.115,136.987,-163.099,33.7468,108.551,-208.289,-7.26116,170.111,-49.7738,-24.1592,117.926,39.4232,-22.312
0.85,120.845,-59.1977,1113.51,132.823,-27.2418,940.931,119.141,-51.1654,434.443,136.922,-163.063,33.764,108.534,-208.251,-7.21192,170.054,-49.7513,-24.1398,117.938,39.4524,-22.2856
0.858333,120.753,-58.9823,1113.49,132.534,-26.9341,940.78,118.9,-51.0474,434.275,136.887,-163.047,33.7522,108.562,-208.299,-7.23368,169.967,-49.7116,-24.0821,117.925,39.5585,-22.1741
0.866667,120.694,-58.73,1113.39,132.35,-26.8797,940.904,118.667,-51.0373,434.202,136.854,-163.018,33.756,108.517,-208.236,-7.17622,170.011,-49.7153,-24.1539,117.912,39.5209,-22.2779
0.875,120.478,-58.6027,1113.35,132.221,-26.7071,940.81,118.716,-50.7909,434.484,136.845,-162.967,33.8051,108.645,-208.166,-7.12573,169.985,-49.7127,-24.0568,117.769,39.6399,-22.163
0.883333,120.376,-58.4009,1113.25,131.958,-26.482,940.811,118.348,-50.8512,434.146,136.832,-162.965,33.7685,108.52,-208.247,-7.18635,170.007,-49.7383,-24.1574,117.876,39.5392,-22.3569
0.891667,120.426,-58.1502,1113.17,131.742,-26.3494,940.787,118.077,-50.7928,434.017,136.828,-162.943,33.7436,108.294,-208.342,-7.13932,169.92,-49.6898,-24.0501,117.923,39.5182,-22.2183
0.9,120.233,-58.0443,1113.11,131.5,-26.1719,940.737,118.205,-50.5515,434.2,136.774,-162.888,33.7743,108.48,-208.267,-7.19887,169.989,-49.6903,-24.1106,117.847,39.5418,-22.301
0.908333,120.239,-57.8263,1113.04,131.305,-25.9483,940.662,117.904,-50.5248,434.143,136.78,-162.874,33.7515,108.458,-208.355,-7.2431,169.975,-49.6713,-24.1113,117.825,39.573,-22.3289
0.916667,120.063,-57.768,1112.95,131.332,-25.6584,940.75,117.551,-50.624,434.152,136.752,-162.847,33.7781,108.455,-208.225,-7.12681,169.926,-49.6545,-24.1042,117.785,39.6017,-22.2948
0.925,120.041,-57.6028,1112.86,130.901,-25.5997,940.585,117.765,-50.3666,434.162,136.761,-162.856,33.7701,108.447,-208.337,-7.13557,169.84,-49.6554,-24.0495,117.834,39.6754,-22.2027
0.933333,120.087,-57.4714,1112.77,130.715,-25.4518,940.508,117.399,-50.3516,433.981,136.744,-162.815,33.7393,108.477,-208.224,-7.12866,169.868,-49.6556,-24.0791,117.802,39.6317,-22.3373
0.941667,120.011,-57.4101,1112.65,130.498,-25.3175,940.502,117.265,-50.3394,434.149,136.734,-162.775,33.7648,108.484,-208.288,-7.15947,169.827,-49.6445,-24.0354,117.779,39.7239,-22.2422
0.95,120.037,-57.2989,1112.59,130.274,-25.4042,940.32,117.055,-50.3383,433.976,136.736,-162.765,33.726,108.468,-208.227,-7.10821,169.929,-49.6905,-24.0951,117.686,39.5953,-22.3385
0.958333,120.142,-57.1371,1112.51,130.198,-24.9154,940.426,116.812,-50.3335,433.974,136.721,-162.748,33.7304,108.416,-208.135,-7.22659,169.846,-49.6079,-24.0465,117.775,39.7311,-22.2055
0.966667,120.11,-57.1188,1112.46,129.968,-24.8842,940.484,116.72,-50.2644,434.021,136.683,-162.681,33.7768,108.485,-208.264,-7.14689,169.839,-49.638,-24.1088,117.901,39.7595,-22.3564
0.975,120.191,-56.9674,1112.42,129.828,-24.6158,940.316,116.442,-50.2191,433.919,136.683,-162.679,33.7467,108.448,-208.256,-7.11465,169.848,-49.6253,-24.1141,117.736,39.6868,-22.3377
0.983333,120.234,-56.8775,1112.37,129.555,-24.3332,940.448,116.354,-50.243,433.863,136.67,-162.641,33.7912,108.432,-208.178,-7.02757,169.85,-49.6191,-24.1029,117.702,39.7097,-22.3483
0.991667,120.367,-56.7645,1112.3,129.527,-24.3602,940.275,116.296,-50.0829,433.863,136.642,-162.629,33.7403,108.401,-208.22,-7.06005,169.769,-49.5419,-24.0014,117.687,39.7825,-22.2282
1,120.461,-56.6187,1112.27,129.389,-24.1635,940.18,116.129,-50.0947,433.916,136.621,-162.614,33.7591,108.406,-208.185,-7.03162,169.813,-49.5841,-24.0453,117.683,39.8331,-22.3095
1.00833,120.489,-56.5837,1112.24,129.29,-24.1663,940.275,116.2,-49.9924,433.974,136.62,-162.581,33.8174,108.404,-208.203,-7.04282,169.803,-49.5701,-24.0067,117.669,39.9144,-22.1961
1.01667,120.603,-56.4569,1112.18,129.269,-24.0375,940.254,116.025,-50.0146,433.951,136.607,-162.572,33.7931,108.59,-208.034,-6.90913,169.828,-49.5777,-24.1063,117.562,39.8997,-22.2985
