Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.407,-3.592469,-2.035231,549.596894,-42.304892,2.296648,0.137021,-0.004179,-0.076974
0.408,-3.504384,-2.035542,549.594398,-42.239011,2.300827,0.029027,-0.004186,-0.076855
0.409,-3.680691,-1.945403,549.592824,-42.308991,2.338922,0.132181,-0.004256,-0.076982
0.41,-3.768423,-1.945479,549.249632,-42.308921,2.334506,0.148932,-0.00425,-0.07703
0.411,-3.679966,-1.947184,549.249177,-42.308408,2.338292,0.017001,-0.004257,-0.07703
0.412,-3.680324,-1.945277,549.250187,-42.243415,2.29269,0.13205,-0.004174,-0.076911
0.413,-3.856411,-1.945417,549.248447,-42.2429,2.330298,0.132152,-0.004243,-0.07691
0.414,-3.767928,-1.858194,549.248946,-42.246823,2.334232,0.045771,-0.00425,-0.076917
0.415,-3.767703,-1.9447,549.591299,-42.243245,2.381038,0.173108,-0.004332,-0.076863
0.416,-3.856882,-1.857846,549.42135,-42.214139,2.35323,0.120243,-0.004283,-0.076834
0.417,-3.767757,-1.946745,549.248097,-42.177094,2.380351,0.057944,-0.004334,-0.076791
0.418,-3.856281,-1.857086,549.249535,-42.181705,2.376446,0.17786,-0.004327,-0.076799
0.419,-3.944168,-1.768909,549.076789,-42.152738,2.395146,0.149058,-0.004362,-0.07677
0.42,-3.856022,-1.770022,549.248224,-42.119702,2.422248,0.074796,-0.00441,-0.076686
0.421,-3.943699,-1.768054,549.248234,-42.185783,2.418519,0.20671,-0.004403,-0.076806
0.422,-3.943689,-1.769626,549.248398,-42.119817,2.464254,0.149304,-0.004487,-0.076686
0.423,-3.942871,-1.770433,548.904721,-42.119571,2.463889,0.091689,-0.004489,-0.076734
0.424,-3.942542,-1.590823,549.247402,-42.19412,2.464791,0.206744,-0.004488,-0.076822
0.425,-3.943038,-1.592181,549.419352,-42.160925,2.487575,0.149284,-0.004528,-0.076737
0.426,-4.030884,-1.680886,549.24467,-42.123425,2.506245,0.086946,-0.004563,-0.076693
0.427,-4.03091,-1.680216,549.247202,-42.058601,2.552593,0.235877,-0.004647,-0.076575
0.428,-4.118994,-1.592416,549.074351,-42.094929,2.525027,0.149352,-0.004599,-0.076665
0.429,-4.029938,-1.504935,549.246429,-42.066267,2.598334,0.120781,-0.004731,-0.076589
0.43,-4.03002,-1.504983,549.419707,-42.099543,2.667598,0.212175,-0.004855,-0.076625
0.431,-4.118099,-1.415909,549.416291,-42.103211,2.663532,0.149674,-0.004848,-0.076633
0.432,-4.118503,-1.416291,549.588211,-42.070352,2.686582,0.149779,-0.004888,-0.076549
0.433,-4.118034,-1.415436,549.759656,-42.103397,2.709954,0.207432,-0.004929,-0.076585
0.434,-4.117243,-1.416745,549.759375,-42.103,2.755747,0.15001,-0.005013,-0.076584
0.435,-4.028667,-1.328547,549.759843,-42.107259,2.759946,0.121193,-0.00502,-0.076592
0.436,-4.117688,-1.240245,549.933231,-42.078674,2.778827,0.183649,-0.005053,-0.076516
0.437,-4.206041,-1.328736,549.930335,-42.073945,2.774546,0.121258,-0.005045,-0.076508
0.438,-4.205193,-1.23934,549.757045,-42.045473,2.797829,0.133217,-0.005089,-0.07648
0.439,-4.118092,-1.240628,550.105151,-42.045815,2.801877,0.183754,-0.005093,-0.076432
0.44,-4.117152,-1.151429,550.272695,-42.082352,2.825234,0.10454,-0.005134,-0.076475
0.441,-4.205795,-1.151673,550.273209,-42.082192,2.820917,0.121342,-0.005126,-0.076475
0.442,-4.206173,-1.063127,550.446082,-42.053767,2.844115,0.166997,-0.005167,-0.076399
0.443,-4.295165,-1.064208,550.788633,-41.987322,2.83974,0.092704,-0.005156,-0.076231
0.444,-4.295165,-1.064208,550.788633,-41.987322,2.83974,0.092704,-0.005156,-0.076231
0.445,-4.294904,-1.063072,550.61606,-42.020613,2.863031,0.15026,-0.0052,-0.076316
0.446,-4.294917,-0.975572,550.787159,-41.991286,2.839806,0.047045,-0.005156,-0.076239
0.447,-4.206589,-0.97601,550.789102,-41.991581,2.843939,0.063887,-0.005163,-0.076239
0.448,-4.206496,-0.975035,550.789072,-41.991916,2.844205,0.121451,-0.005164,-0.07624
0.449,-4.294984,-0.887618,550.788142,-41.995384,2.839688,0.03503,-0.005156,-0.076246
0.45,-4.207199,-0.798111,550.788892,-42.000039,2.798096,0.063636,-0.00508,-0.076254
0.451,-4.295802,-0.886811,551.131819,-41.995631,2.840053,0.092646,-0.005153,-0.076199
0.452,-4.207488,-0.79975,551.304861,-41.966599,2.820961,0.006273,-0.005117,-0.076122
0.453,-4.207771,-0.798656,551.133356,-41.934225,2.79812,0.063749,-0.005077,-0.076087
0.454,-4.208253,-0.709513,551.306096,-41.97143,2.775317,0.109245,-0.005034,-0.076131
0.455,-4.20759,-0.622066,551.132865,-41.942287,2.798068,0.006076,-0.005077,-0.076102
0.456,-4.119573,-0.621912,551.306698,-41.910058,2.825517,0.080586,-0.005125,-0.076019
0.457,-4.031957,-0.532567,551.479992,-41.881758,2.760898,0.1092,-0.005006,-0.075944
0.458,-4.031734,-0.532859,551.477565,-41.881287,2.760817,0.017992,-0.005006,-0.075944
0.459,-3.943722,-0.53398,551.481965,-41.881717,2.764766,0.068478,-0.005013,-0.075944
0.46,-3.855835,-0.622157,551.654711,-41.910684,2.746066,0.097281,-0.004978,-0.075973
