Time,M024X,M024Y,M024Z,M025X,M025Y,M025Z,M026X,M026Y,M026Z,M027X,M027Y,M027Z,M028X,M028Y,M028Z,M029X,M029Y,M029Z,M030X,M030Y,M030Z
0.875,149.707,10.6601,899.657,158.208,-45.2765,774.017,138.417,153.17,348.059,115.012,-117.679,31.1046,86.6619,-171.578,-0.68748,161.342,-21.7693,-24.2667,121.995,74.6441,-24.5983
0.8833,149.107,13.0382,897.079,159.355,-41.8886,770.408,138.712,157.098,344.662,114.741,-117.344,31.2229,85.966,-171.355,-0.138283,161.429,-21.9004,-24.2877,122.396,74.7345,-24.7737
0.8917,148.384,15.687,896.275,159.757,-37.6621,768.765,139.714,160.49,341.625,114.346,-116.788,31.1973,85.2331,-171.227,0.322342,161.451,-22.0379,-24.2818,122.723,74.7899,-24.6176
0.9,147.833,19.3866,897.15,159.929,-33.0273,769.295,141.094,163.196,339.38,114.124,-116.724,31.5132,84.7854,-171.041,0.865579,161.493,-22.1112,-24.4712,122.886,74.8674,-24.861
0.9083,147.733,24.405,899.828,160.026,-27.9335,771.774,142.727,164.755,338.174,114.232,-116.58,31.986,84.4472,-170.93,1.38086,161.652,-22.2647,-24.5817,123.136,74.9628,-24.7488
0.9167,147.791,30.1948,904.651,160.277,-22.3631,775.797,145.251,165.318,337.41,114.414,-116.465,32.1506,84.2533,-170.816,1.98567,162.241,-21.9122,-24.6662,123.241,74.8713,-24.9364
0.925,147.862,36.3886,911.581,160.536,-16.5924,781.276,148.055,165.251,337.849,114.877,-116.478,32.6207,84.2854,-170.778,2.56175,162.07,-22.3109,-25.0651,123.311,74.8508,-24.9268
0.9333,147.93,43.0061,920.423,161.563,-10.1108,788.126,149.689,163.348,339.745,115.368,-116.356,33.1207,84.4543,-170.596,3.29453,162.391,-22.3856,-25.3193,123.42,74.7001,-25.0199
0.9417,147.883,49.7789,931.297,161.625,-3.46357,796.921,150.868,160.308,342.884,115.679,-116.312,33.6071,84.7486,-170.481,3.86542,162.748,-22.3568,-25.5446,123.458,74.5707,-24.9839
0.95,147.852,56.4935,943.738,161.892,3.85505,807.082,152.607,156.156,347.186,116.373,-116.362,34.3202,85.1172,-170.263,4.66156,163.223,-22.518,-25.8133,123.477,74.4446,-24.92
0.9583,147.382,63.6147,957.869,162.216,12.8055,819.136,154.598,151.057,352.331,117.05,-116.405,35.1499,85.5845,-170.037,5.55783,163.752,-22.1215,-25.7839,123.611,74.3895,-24.7194
0.9667,147.451,70.4286,973.957,162.312,21.5274,832.864,156.675,144.856,358.724,117.699,-116.404,36.2676,86.1023,-169.718,7.08544,164.079,-22.2135,-25.9771,123.598,74.3767,-24.9028
0.975,148.124,77.902,991.373,162.96,31.6514,847.386,158.087,137.26,366.688,118.874,-116.412,38.2643,86.6953,-169.139,9.60809,164.554,-21.9123,-26.3079,123.488,74.1413,-24.6723
0.9833,148.517,85.6403,1010.41,162.825,41.8599,863.6,158.598,128.366,375.827,119.966,-116.098,41.1211,87.6401,-168.078,14.0205,164.876,-21.7779,-26.6623,123.305,73.889,-24.753
0.9917,149.503,93.1529,1030.58,162.932,52.42,880.911,159.098,119.639,387.27,122.017,-114.996,46.0019,89.0824,-166.31,20.4434,165.252,-21.6063,-26.7357,123.355,73.4923,-24.4114
1,150.109,100.819,1051.23,163.296,63.4378,899.463,160.089,112.019,400.648,125.114,-113.385,53.1709,91.2148,-163.569,29.4093,165.545,-21.1359,-27.1173,123.123,73.1124,-24.3208
1.0083,150.671,107.814,1072.75,163.299,74.5721,919.227,160.736,105.629,416.676,128.956,-110.652,62.4987,93.6984,-159.277,40.9497,165.895,-21.2464,-26.7072,123.107,72.2505,-23.9197
1.0167,151.78,115.22,1095.29,164.485,85.5043,939.528,161.472,101.974,435.636,133.37,-106.256,74.9435,96.4358,-153.363,55.0808,166.546,-20.7779,-25.9578,123.109,71.0014,-23.5012
1.025,152.735,122.036,1118.66,162.836,95.8231,961.838,161.839,101.112,456.219,138.238,-99.8971,90.2528,99.6694,-145.846,71.2138,166.17,-21.924,-25.4275,123.889,68.1772,-22.8934
1.0333,153.149,127.509,1142.18,162.223,105.391,984.269,162.126,100.964,477.124,143.521,-91.4612,105.726,103.405,-136.299,88.0265,168.005,-22.7818,-25.6833,123.951,67.6667,-23.3599
1.0417,154.186,132.538,1165.28,161.405,114.637,1005.82,161.875,101.073,497.757,148.883,-80.4977,120.487,107.748,-125.672,104.871,169.39,-19.4677,-21.1434,125.506,71.2603,-25.0394
1.05,155.518,137.502,1187.95,160.491,123.327,1027.23,161.838,101.456,517.866,153.374,-67.92,135.705,112.542,-114.896,122.174,170.973,-12.3872,-8.96233,132.0795,74.11425,-22.59845
1.0583,156.069,141.158,1209.47,158.904,130.92,1048.42,160.272,103.389,538.003,155.787,-56.2178,152.056,115.647,-105.946,138.98,175.173,-3.65788,10.5337,138.653,76.9682,-20.1575
1.0667,157.081,144.693,1230.5,157.831,137.659,1069.31,159.21,108.923,556.816,155.533,-50.3318,169.791,115.715,-100.264,154.708,181.511,2.54035,29.9485,141.133,86.2221,2.48277
1.075,157.793,148.913,1249.72,156.225,142.213,1089.54,157.205,120.25,572.78,154.274,-47.8474,187.639,114.752,-95.6418,171.049,186.253,9.79447,51.0781,145.393,97.4874,27.3822
1.0833,158.219,152.78,1267.44,154.431,144.62,1108.28,154.33,135.075,587.029,152.923,-43.6681,206.029,113.376,-90.6542,189.149,187.492,18.0467,77.6019,148.873,102.502,46.437
1.0917,158.338,156.569,1283.54,152.977,146.137,1125.15,151.237,150.986,600.147,150.738,-37.5278,224.958,111.457,-85.4284,208.029,191.873,27.0529,104.654,146.5506766,104.4948623,63.48819521
1.1,158.354,160.458,1297.78,151.951,147.112,1140.31,148.099,167.108,612.998,148.035,-30.8397,243.839,109.673,-80.0775,226.793,192.948,33.4321,127.33,144.256,106.464,80.3364
1.1083,158.264,163.762,1310.54,151.241,147.434,1154.05,144.714,183.183,626.523,145.459,-23.7137,262.542,107.887,-73.6703,244.922,189.661,41.7976,147.885,140.723,113.794,100.27
1.1167,157.475,166.504,1321.51,149.854,147.335,1167.11,141.385,198.298,640.984,143.169,-15.5559,280.808,106.147,-66.25,262.08,182.26,50.0326,167.73,135.623,123.561,120.374
1.125,156.658,169.335,1331.22,148.682,145.961,1178.94,138.718,212.311,655.743,140.415,-6.62506,297.792,104.292,-57.4232,277.679,175.112,58.7459,185.65,129.727,135.252,140.121
